Size (Acres),City,County,State,Price,Notes,Link,Property ID
40,Barstow,San Bernardino County,CA,"$39,770",,/San-Bernardino-County-California-Land-for-sale/pid/200545250,200545250
20,Ridgecrest,San Bernardino County,CA,"$19,940",,/San-Bernardino-County-California-Land-for-sale/pid/200392972,200392972
9.63,Ramona,San Diego County,CA,"$174,000",,/San-Diego-County-California-Land-for-sale/pid/289313838,289313838
380,Sutter County,CA,"$500,000",,,/Sutter-County-California-Land-for-sale/pid/289377125,289377125
2,Gridley,CA,"$1,282,500",,,/California-Land-for-sale/pid/289389004,289389004
8.13,Fallbrook,San Diego County,CA,"$199,000",,/San-Diego-County-California-Land-for-sale/pid/37002887,37002887
47.6,Mariposa,Mariposa County,CA,"$212,000",,/Mariposa-County-California-Land-for-sale/pid/2163744,2163744
31.65,Orland,Glenn County,CA,"$1,150,000",,/Glenn-County-California-Land-for-sale/pid/331342260,331342260
614.6,Colusa,Colusa County,CA,"$1,250,000",,/Colusa-County-California-Land-for-sale/pid/331342270,331342270
18.75,Lancaster,Los Angeles County,CA,"$19,950",,/Los-Angeles-County-California-Land-for-sale/pid/4149419,4149419
20.32,Madeline,Lassen County,CA,"$20,000 TERMS ",$200/Month,/Lassen-County-California-Land-for-sale/pid/352005825,352005825
10.08,Greenfield,Monterey County,CA,"$375,000",,/Monterey-County-California-Land-for-sale/pid/25095347,25095347
5090,Cottonwood,Tehama County,CA,"$6,450,000",,/Tehama-County-California-Land-for-sale/pid/326802248,326802248
40,Barstow,San Bernardino County,CA,"$13,999",,/San-Bernardino-County-California-Land-for-sale/pid/25048347,25048347
20,Wheatland,Yuba County,CA,"$175,000",,/Yuba-County-California-Land-for-sale/pid/25046720,25046720
4.79,Lancaster,Los Angeles County,CA14950,,,/Los-Angeles-County-California-Land-for-sale/pid/25033282,25033282
2690,Bridgeville,Humboldt County,CA,"$6,750,000",,/Humboldt-County-California-Land-for-sale/pid/326945434,326945434
40,Termo,Lassen County,CA,"$42,000",,/Lassen-County-California-Land-for-sale/pid/200442048,200442048
10.7,Etna,Siskiyou County,CA,"$99,000",,/Siskiyou-County-California-Land-for-sale/pid/331111107,331111107
5.11,Niland,Imperial County,CA,"$7,937",,/Imperial-County-California-Land-for-sale/pid/200492561,200492561
614.6,Colusa,Colusa County,CA,"$1,250,000",,/Colusa-County-California-Land-for-sale/pid/25080924,25080924
40,Boron,Kern County,CA,"$17,999",,/Kern-County-California-Land-for-sale/pid/25061380,25061380
63.34,Grass Valley,Nevada County,CA,"$995,000",,/Nevada-County-California-Land-for-sale/pid/327448213,327448213
158.08,Maricopa,Ventura County,CA,"$550,000",,/Ventura-County-California-Land-for-sale/pid/352005257,352005257
7.91,Calipatria,Imperial County,CA,"$4,950",,/Imperial-County-California-Land-for-sale/pid/25052015,25052015
20,Needles,San Bernardino County,CA,"$7,975",,/San-Bernardino-County-California-Land-for-sale/pid/25010399,25010399
10,Ridgecrest,Kern County,CA,"$4,450",,/Kern-County-California-Land-for-sale/pid/327474666,327474666
26.16,Catheys Valley,Mariposa County,CA,"$235,000",,/Mariposa-County-California-Land-for-sale/pid/25098287,25098287
1.39,Tehachapi,Kern County,CA,"$4,950",,/Kern-County-California-Land-for-sale/pid/331011821,331011821
5.06,Desert Hot Springs,Riverside County,CA,"$19,950",,/Riverside-County-California-Land-for-sale/pid/331307038,331307038
1079,Montrose,Montrose County,CO,"$895,000",,/Montrose-County-Colorado-Land-for-sale/pid/313653456,313653456
35.2,Howard,Fremont County,CO,"$94,900",,/Fremont-County-Colorado-Land-for-sale/pid/314089207,314089207
35,Pryor,Huerfano County,CO,"$69,000",,/Huerfano-County-Colorado-Land-for-sale/pid/200694817,200694817
812,Guffey,Park County,CO,"$5,417,000",,/Park-County-Colorado-Land-for-sale/pid/327985973,327985973
222.57,Conifer,Jefferson County,CO,"$2,900,000",,/Jefferson-County-Colorado-Land-for-sale/pid/330359228,330359228
35.57,Canon City,Fremont County,CO,"$52,000",,/Fremont-County-Colorado-Land-for-sale/pid/3658944,3658944
4900,Gunnison,Hinsdale County,CO,"$3,950,000",,/Hinsdale-County-Colorado-Land-for-sale/pid/330701809,330701809
2.92,Salida,Chaffee County,CO,"$80,000",,/Chaffee-County-Colorado-Land-for-sale/pid/331394317,331394317
36,Fairplay,Park County,CO,"$99,999",,/Park-County-Colorado-Land-for-sale/pid/25088498,25088498
40,Pueblo,Pueblo County,CO,"$134,900",,/Pueblo-County-Colorado-Land-for-sale/pid/28612306,28612306
310,Florissant,Teller County,CO,"$1,292,000",,/Teller-County-Colorado-Land-for-sale/pid/331097088,331097088
80,Sterling,Logan County,CO,"$450,000",,/Logan-County-Colorado-Land-for-sale/pid/330223381,330223381
767,Montrose,Montrose County,CO,"$2,795,000",,/Montrose-County-Colorado-Land-for-sale/pid/327609695,327609695
2.07,South Fork,Rio Grande County,CO,"$69,000",,/Rio-Grande-County-Colorado-Land-for-sale/pid/2598318,2598318
30,Victor,Teller County,CO,"$169,000",,/Teller-County-Colorado-Land-for-sale/pid/326920460,326920460
10.33,Westcliffe,Custer County,CO,"$68,000",,/Custer-County-Colorado-Land-for-sale/pid/327114663,327114663
35,Trinidad,Las Animas County,CO,"$24,000",,/Las-Animas-County-Colorado-Land-for-sale/pid/352006029,352006029
3.62,South Fork,Rio Grande County,CO,"$179,000",,/Rio-Grande-County-Colorado-Land-for-sale/pid/2519887,2519887
106,Livermore,Larimer County,CO,"$1,350,000",,/Larimer-County-Colorado-Land-for-sale/pid/330200113,330200113
362,Hartsel,Park County,CO,"$450,000",,/Park-County-Colorado-Land-for-sale/pid/353000745,353000745
40.37,Salida,Fremont County,CO,"$150,000",,/Fremont-County-Colorado-Land-for-sale/pid/319872617,319872617
73,Montrose,Montrose County,CO,"$999,000",,/Montrose-County-Colorado-Land-for-sale/pid/331306515,331306515
83.3,Westcliffe,Custer County,CO,"$330,000",,/Custer-County-Colorado-Land-for-sale/pid/3308607,3308607
15.84,South Fork,Rio Grande County,CO,"$129,000",,/Rio-Grande-County-Colorado-Land-for-sale/pid/28309217,28309217
11.72,South Fork,Rio Grande County,CO,"$2,300,000",,/Rio-Grande-County-Colorado-Land-for-sale/pid/2818638,2818638
3000,Egnar,San Miguel County,CO,"$4,500,000",,/San-Miguel-County-Colorado-Land-for-sale/pid/331342194,331342194
18,Buena Vista,Chaffee County,CO,"$1,490,000",,/Chaffee-County-Colorado-Land-for-sale/pid/327609693,327609693
35.11,Canon City,Fremont County,CO,"$129,000",,/Fremont-County-Colorado-Land-for-sale/pid/330900217,330900217
3.47,Creede,Mineral County,CO,"$99,950",,/Mineral-County-Colorado-Land-for-sale/pid/326816174,326816174
